name,position,nba_team,status
Cade Cunningham,"PG,SG,G,Util",-,
Devin Booker,"PG,SG,G,Util",-,
Christian Braun,"SG,G,SF,F,Util",-,
Jimmy Butler III,"SF,PF,F,Util",-,
Jaren Jackson Jr.,"PF,F,C,Util",-,
Norman Powell,"SG,G,SF,F,Util",-,
Jarrett Allen,"C,Util",-,
Myles Turner,"C,Util",-,
Payton Pritchard,"PG,G,Util",-,
Jakob Poeltl,"C,Util",-,
Draymond Green,"PF,F,C,Util",-,
Luguentz Dort,"SG,G,SF,F,Util,IL+",-,GTD
Jonathan Kuminga,"SF,PF,F,Util",-,
Kyrie Irving,"PG,G,Util,IL,IL+",-,INJ
